page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
6.0,59.5,1.0,2.1666667,1.5,2.0,1.0,0.0,1.0,0.020694444,3.1666667,0.0523878,7.8333335,0.20318732
8.0,39.6875,1.5,1.125,2.0,2.142857,1.0,0.0,1.0,0.021666666,2.625,0.05668242,7.0,0.0
8.0,54.25,1.25,0.75,1.75,2.142857,0.0,0.0,1.0,0.025347222,2.0,0.070407405,5.875,0.17011066
5.0,120.0,1.6,1.8,1.8,2.0,1.0,0.0,1.0,0.042013887,3.4,0.053088438,9.8,0.18999761
6.0,114.416664,1.3333334,1.1666666,0.6666667,1.2,1.0,0.0,1.0,0.033819444,2.5,0.032846402,7.1666665,0.16335058
6.0,88.583336,0.6666667,0.6666667,1.8333334,2.0,1.0,0.0,1.0,0.026319444,1.3333334,0.0607278,4.6666665,0.16383702
8.0,49.9375,1.0,1.25,1.875,2.0,1.0,0.0,1.0,0.023125,2.25,0.051110573,8.375,0.12350223
6.0,81.083336,1.1666666,0.5,1.1666666,1.6,1.0,0.0,1.0,0.026180556,1.6666666,0.05887562,4.6666665,0.16568749
6.0,98.5,0.8333333,0.6666667,2.0,2.2,1.0,0.0,1.0,0.032986112,1.5,0.03624542,3.1666667,0.20545872
6.0,70.666664,1.6666666,1.3333334,2.0,2.2,1.0,0.0,1.0,0.03013889,3.0,0.03828197,7.6666665,0.16579574
8.0,41.875,1.75,1.875,1.625,1.8571428,0.0,0.0,1.0,0.022916667,3.625,0.055242874,9.875,0.0
5.0,145.9,1.2,1.4,1.6,1.75,1.0,0.0,1.0,0.041875,2.6,0.05684492,8.6,0.0
6.0,111.5,1.8333334,1.3333334,1.8333334,2.2,1.0,0.0,1.0,0.03861111,3.1666667,0.056401677,8.166667,0.0
8.0,38.625,0.75,0.625,1.25,1.5714285,1.0,0.0,1.0,0.025069445,1.375,0.054191895,4.125,0.0
8.0,44.0,1.0,1.0,1.875,2.0,1.0,0.0,1.0,0.01875,2.0,0.06131734,6.875,0.0
6.0,68.0,1.1666666,0.6666667,2.0,2.2,1.0,0.0,1.0,0.024791667,1.8333334,0.06382246,4.8333335,0.16473901
6.0,142.58333,1.1666666,1.1666666,0.5,0.4,1.0,0.0,1.0,0.054930557,2.3333333,0.05262344,6.1666665,0.20960134
7.0,61.42857,0.42857143,0.5714286,2.0,2.1666667,0.0,0.0,1.0,0.02625,1.0,0.036539845,4.142857,0.18310799
8.0,35.6875,0.875,1.0,1.375,2.0,1.0,0.0,1.0,0.015694445,1.875,0.06428716,4.875,0.0
8.0,49.4375,1.75,1.25,1.625,2.0,0.0,0.0,1.0,0.023402778,3.0,0.05124492,8.5,0.1811225
7.0,55.57143,0.85714287,0.71428573,1.7142857,1.8333334,0.0,0.0,1.0,0.025138889,1.5714285,0.05285957,4.714286,0.0
6.0,77.833336,1.0,1.3333334,2.0,2.2,0.0,0.0,1.0,0.025,2.3333333,0.047885977,5.6666665,0.16171934
